product_id,asin,review_id,product_title,star_rating,review_body,review_date,summary,verified_purchase,review_date_iso
p4,B00BD76NZK,A3CNFAL6H4VZFM,,5.0,"I have 3 cats, all different sizes, one overweight, one underweight and one just fine. (My 3 little bears...) but this food works for all 3. The bigger one is getting thinner, the thin one is putting on weight and the other is staying as he should. My small girl has a sensitive stomach and had a hard time keeping down the other foods I tried, but does great with this one. Decent ingredients and price. Will continue to buy.","08 7, 2015",For my 3 little bears... lol,True,2015-08-07
p4,B00BD76NZK,A2ODI3577OUSR9,,5.0,"I regularly use IAMS Adult 1-6 yr. (orange bag) I thought I would take a chance and try IAMS Multi Cat, since I do have Multi cats. I works out to cost less per pound and it comes in a larger 22 LB bag. The IAMS orange bag I have been using for years, however 17LBS is as big a bag as I can find, and I run out just days before the end of the month. 22LBS works out perfect. Comparing ingredients its got everything like the orange bag. I would never buy a new brand just cause its alittle cheaper or bigger.  I totally trust IAMS, So I don't have to worry! Hopefully 22LB bags will become available in IAMS other varietys. Oh I almost forgot, THEY LIKE IT !","06 12, 2015","22LB IAMS Multi-Cat, Bigger is Better!",True,2015-06-12
p4,B00BD76NZK,A2NV6EVUDPV0OP,,5.0,"And has been often constipated. I have tried every dry food out there (picky boy will not eat wet food unless it is Gerber Chicken Baby Food, which settles his stomach but as a steady diet is not feasible).  Even gluten free, grain free, and a wide variety of proteins have produced nasty residuals that stain my carpets, floors, furniture, down comforters, etc. And he has tried exceptionally pricey ones from three different vets, all of which he liked but they didn't like him. It has been three weeks now with this product and the barfing has stopped completely.  The pellets are very small, a size he usually inhales without chewing (which adds to his predisposition to barf). However, he crunches away on this. The breeder told me to never buy any cat food available in a grocery store because the ingredients are not regulated; she used to work at a Purina cattery and has horrible horror stories about what gets thrown into the mix. So for 13 years it has been
Petsmart, Amazon, or the vets. I bought this product the first time in a pinch in the
grocery store. Surprise! He likes it and it likes him. And he is pooping Baby Ruths!
And even with the $4.99 shipping from a third party supplier to Amazon, it is still $13.28 less expensive through Amazon than at the grocery store; and of course having it delivered to my front door instead of lugging it 2 blocks from my parking garage is a bonus.","08 5, 2013",My Burmese show cat has been barfing for 13 years,True,2013-08-05
p4,B00BD76NZK,ACJ8VV0UC7IUC,,5.0,I have several cats and one of them has a definite weight issue.  This food works for him and is also just fine for the other kitties.,"06 26, 2018",Helps with weight loss,True,2018-06-26
p4,B00BD76NZK,A7L5EMNWLBNT0,,5.0,Cats love it what else can I say,"06 25, 2018",Five Stars,True,2018-06-25
p4,B00BD76NZK,A2FSRTUVUJTN7J,,5.0,Cats do well on it.  Bowls always empty.  Don't throw up on it.  Price good so far on Subscribe and Save.  Hope that stays.,"06 22, 2018",Good Food,True,2018-06-22
p4,B00BD76NZK,A14QJKY3DA19AP,,5.0,"Out of four indoor cats who grace my home, two of them have a problem with vomiting a little too frequently.  They're healthy, but often eat too much at one time and it all comes back up.  I chose IAMS Proactive Health Specialized dry cat food for Healthy Digestion.  This dry cat food has really cut back on the vomiting problem.  The cats like it and they chew the pieces up rather than swallowing it whole as they do with some other foods.","06 21, 2018",Works for my cats' delicate tummies,True,2018-06-21
p4,B00BD76NZK,A3ANCRY3F2K7F9,,5.0,My cats love it and so far have not regurgitated this food like other brands.,"06 19, 2018",Five Stars,True,2018-06-19
p4,B00BD76NZK,A18AS6HXFG6HRS,,5.0,I have a very small cat (growth stunted when she was a kitten) and she does fine with this food. She has a bunch of allergies (I think she might actually be allergic to herself) and this food cuts down on the hairballs and sneezing significantly.,"06 19, 2018",Stops the cat from eating the dog food...,True,2018-06-19
p4,B00BD76NZK,A30DDOPIS2P34P,,5.0,Great cat food. I buy it consistently.,"06 17, 2018",Five Stars,True,2018-06-17
p4,B00BD76NZK,ABBDO1AFUEJ4,,5.0,"My two cats have eaten Iams Proactive Health 'Hairball' dry food for two years and continue to be pleased. What pleases me is that one cat tending towards hairballs does not suffer from that problem when eating this product. Their overall health is good, with shiny coats and bright eyes.","06 16, 2018",Great Hairball Prevention for Cats,True,2018-06-16
p4,B00BD76NZK,A2YL19TR8LBFV1,,5.0,Cats like it and helps to have home delivery of heavy sack.,"06 6, 2018",Good value,True,2018-06-06
